MODEL_ID,POPULATION_ID,OBSERVATION_ID,SCORE
eltm-pop-1,1,181,0.31007615
eltm-pop-1,1,182,0.12178734
eltm-pop-1,1,183,0.31007615
eltm-pop-1,1,184,0.011570099
eltm-pop-1,1,185,0.10631182
eltm-pop-1,1,186,0.31007615
eltm-pop-1,1,187,0.31007615
eltm-pop-1,1,188,0.31007615
eltm-pop-1,1,189,0.12178734
eltm-pop-1,1,190,0.16583808
eltm-pop-1,1,191,0.31007615
eltm-pop-1,1,192,0.10631182
eltm-pop-1,1,193,0.31007615
eltm-pop-1,1,194,0.31007615
eltm-pop-1,1,195,0.10631182
eltm-pop-1,1,196,0.04109443
eltm-pop-1,1,197,0.31007615
eltm-pop-1,1,198,0.12698357
eltm-pop-1,1,199,0.31007615
eltm-pop-1,1,200,0.31007615
eltm-pop-1,1,201,0.16583808
eltm-pop-1,1,202,0.12698357
eltm-pop-1,1,203,0.016829146
eltm-pop-1,1,204,0.016829146
eltm-pop-1,1,205,0.12178734
eltm-pop-1,1,206,0.31007615
eltm-pop-1,1,207,0.12698357
eltm-pop-1,1,208,0.12178734
eltm-pop-1,1,209,0.31007615
eltm-pop-1,1,210,0.12178734
eltm-pop-1,1,211,0.16583808
eltm-pop-1,1,212,0.04109443
eltm-pop-1,1,213,0.12178734
eltm-pop-1,1,214,0.026906505
eltm-pop-1,1,215,0.10631182
eltm-pop-1,1,216,0.31007615
eltm-pop-1,1,217,0.12178734
eltm-pop-1,1,218,0.12698357
eltm-pop-1,1,219,0.31007615
eltm-pop-1,1,220,0.12698357
eltm-pop-1,1,221,0.16583808
eltm-pop-1,1,222,0.16583808
eltm-pop-1,1,223,0.31007615
eltm-pop-1,1,224,0.12178734
eltm-pop-1,1,225,0.12178734
eltm-pop-1,1,226,0.12698357
eltm-pop-1,1,227,0.31007615
eltm-pop-1,1,228,0.12698357
eltm-pop-1,1,229,0.008496791
eltm-pop-1,1,230,0.12698357
eltm-pop-1,1,231,0.31007615
eltm-pop-1,1,232,0.16583808
eltm-pop-1,1,233,0.16583808
eltm-pop-1,1,234,0.12178734
eltm-pop-1,1,235,0.16583808
eltm-pop-1,1,236,0.31007615
eltm-pop-1,1,237,0.036638644
eltm-pop-1,1,238,0.036638644
eltm-pop-1,1,239,0.12698357
eltm-pop-1,1,240,0.10631182
eltm-pop-1,1,241,0.12698357
eltm-pop-1,1,242,0.31007615
eltm-pop-1,1,243,0.12178734
eltm-pop-1,1,244,0.10631182
eltm-pop-1,1,245,0.31007615
eltm-pop-1,1,246,0.31007615
eltm-pop-1,1,247,0.12698357
eltm-pop-1,1,248,0.10631182
eltm-pop-1,1,249,0.12698357
eltm-pop-1,1,250,0.16583808
eltm-pop-1,1,251,0.12698357
eltm-pop-1,1,252,0.011812424
eltm-pop-1,1,253,0.16583808
eltm-pop-1,1,254,0.31007615
eltm-pop-1,1,255,0.12178734
eltm-pop-1,1,256,0.10631182
eltm-pop-1,1,257,0.31007615
eltm-pop-1,1,258,0.12178734
eltm-pop-1,1,259,0.31007615
eltm-pop-1,1,260,0.31007615
eltm-pop-1,1,261,0.31007615
eltm-pop-1,1,262,0.011570099
eltm-pop-1,1,263,0.10631182
eltm-pop-1,1,264,0.008496791
eltm-pop-1,1,265,0.31007615
eltm-pop-1,1,266,0.12698357
eltm-pop-1,1,267,0.31007615
eltm-pop-1,1,268,0.31007615
eltm-pop-1,1,269,0.31007615
eltm-pop-1,1,270,0.10631182
eltm-pop-1,1,271,0.04109443
eltm-pop-1,1,272,0.036638644
eltm-pop-1,1,273,0.011812424
eltm-pop-1,1,274,0.16583808
eltm-pop-1,1,275,0.10631182
eltm-pop-1,1,276,0.026906505
eltm-pop-1,1,277,0.10631182
eltm-pop-1,1,278,0.31007615
eltm-pop-1,1,279,0.10631182
eltm-pop-1,1,280,0.12698357
eltm-pop-1,1,281,0.31007615
eltm-pop-1,1,282,0.31007615
eltm-pop-1,1,283,0.12178734
eltm-pop-1,1,284,0.12698357
eltm-pop-1,1,285,0.16583808
eltm-pop-1,1,286,0.31007615
eltm-pop-1,1,287,0.16583808
eltm-pop-1,1,288,0.12178734
eltm-pop-1,1,289,0.12698357
eltm-pop-1,1,290,0.011812424
eltm-pop-1,1,291,0.036638644
eltm-pop-1,1,292,0.12178734
eltm-pop-1,1,293,0.12698357
eltm-pop-1,1,294,0.12698357
eltm-pop-1,1,295,0.12698357
eltm-pop-1,1,296,0.31007615
eltm-pop-1,1,297,0.04109443
eltm-pop-1,1,298,0.31007615
eltm-pop-1,1,299,0.036638644
eltm-pop-1,2,0,0.12178734
eltm-pop-1,2,1,0.12178734
eltm-pop-1,2,2,0.16583808
eltm-pop-1,2,3,0.31007615
eltm-pop-1,2,4,0.31007615
eltm-pop-1,2,5,0.31007615
eltm-pop-1,2,6,0.16583808
eltm-pop-1,2,7,0.12178734
eltm-pop-1,2,8,0.31007615
eltm-pop-1,2,9,0.12178734
eltm-pop-1,2,10,0.036638644
eltm-pop-1,2,11,0.31007615
eltm-pop-1,2,12,0.016829146
eltm-pop-1,2,13,0.16583808
eltm-pop-1,2,14,0.04109443
eltm-pop-1,2,15,0.001565502
eltm-pop-1,2,16,0.31007615
eltm-pop-1,2,17,0.31007615
eltm-pop-1,2,18,0.31007615
eltm-pop-1,2,19,0.31007615
eltm-pop-1,2,20,0.31007615
eltm-pop-1,2,21,0.12178734
eltm-pop-1,2,22,0.011812424
eltm-pop-1,2,23,0.12178734
eltm-pop-1,2,24,0.011812424
eltm-pop-1,2,25,0.16583808
eltm-pop-1,2,26,0.31007615
eltm-pop-1,2,27,0.12178734
eltm-pop-1,2,28,0.31007615
eltm-pop-1,2,29,0.31007615
eltm-pop-1,2,30,0.12178734
eltm-pop-1,2,31,0.16583808
eltm-pop-1,2,32,0.12178734
eltm-pop-1,2,33,0.12178734
eltm-pop-1,2,34,0.31007615
eltm-pop-1,2,35,0.31007615
eltm-pop-1,2,36,0.12178734
eltm-pop-1,2,37,0.12178734
eltm-pop-1,2,38,0.10631182
eltm-pop-1,2,39,0.011812424
eltm-pop-1,2,40,0.31007615
eltm-pop-1,2,41,0.12178734
eltm-pop-1,2,42,0.31007615
eltm-pop-1,2,43,0.16583808
eltm-pop-1,2,44,0.12698357
eltm-pop-1,2,45,0.31007615
eltm-pop-1,2,46,0.026906505
eltm-pop-1,2,47,0.16583808
eltm-pop-1,2,48,0.011812424
eltm-pop-1,2,49,0.31007615
eltm-pop-1,2,50,0.31007615
eltm-pop-1,2,51,0.31007615
eltm-pop-1,2,52,0.12178734
eltm-pop-1,2,53,0.12698357
eltm-pop-1,2,54,0.31007615
eltm-pop-1,2,55,0.12178734
eltm-pop-1,2,56,0.12178734
eltm-pop-1,2,57,0.12178734
eltm-pop-1,2,58,0.16583808
eltm-pop-1,2,59,0.31007615
eltm-pop-1,2,60,0.31007615
eltm-pop-1,2,61,0.04109443
eltm-pop-1,2,62,0.16583808
eltm-pop-1,2,63,0.12178734
eltm-pop-1,2,64,0.12698357
eltm-pop-1,2,65,0.011812424
eltm-pop-1,2,66,0.31007615
eltm-pop-1,2,67,0.31007615
eltm-pop-1,2,68,0.31007615
eltm-pop-1,2,69,0.16583808
eltm-pop-1,2,70,0.026906505
eltm-pop-1,2,71,0.31007615
eltm-pop-1,2,72,0.04109443
eltm-pop-1,2,73,0.16583808
eltm-pop-1,2,74,0.12178734
eltm-pop-1,2,75,0.12178734
eltm-pop-1,2,76,0.12178734
eltm-pop-1,2,77,0.036638644
eltm-pop-1,2,78,0.31007615
eltm-pop-1,2,79,0.16583808
eltm-pop-1,2,80,0.16583808
eltm-pop-1,2,81,0.31007615
eltm-pop-1,2,82,0.12178734
eltm-pop-1,2,83,0.036638644
eltm-pop-1,2,84,0.12698357
eltm-pop-1,2,85,0.036638644
